address,latitude,longitude,name
324 Main St,44.9213,-74.89021,McDonald's
530 Clinton Ave,39.53255,-83.44526,Wendy's
408 Market Square Dr,38.62736,-83.79141,Frisch's Big Boy
6098 State Highway 37,44.95008,-74.84553,McDonald's
139 Columbus Rd,39.35155,-82.09728,OMG! Rotisserie
4182 Tonya Trl,39.4176,-84.47641,Domino's Pizza
590 S Main St,39.86969,-84.29358,Domino's Pizza
401 N Jennings St,34.00598,-81.7704,McDonald's
205 W Church St,33.91335,-81.5333,Wendy's
2711 W. Kings Highway Ste. 18,36.06107,-90.52325,Pizza Hut
613 W Center St,34.30687,-92.40784,SONIC Drive In
512 Highway 425 S Lot B,33.61937,-91.80232,Domino's Pizza
1535 NW 50th St,35.52234,-97.5382,McDonald's
125 Towne Center Dr,38.06753,-84.53043,Domino's Pizza
66 14th St.,37.941032,-86.762115,Long John Silver's
301 University Blvd,38.21999,-85.764824,McDonald's
5812 NW Expressway,35.54815,-97.61717,McDonald's
101 Thomas Garst Ln,34.23389,-77.99544,Taco Bell
1111 New Pointe Blvd,34.21188,-78.02454,McDonald's
782 Old Hickory Blvd Ste 120,36.04222,-86.77995,Qdoba Mexican Grill
108 Village Rd NE,34.234477,-78.000649,McDonald's
1116 Old Highway 60,37.792641,-86.492762,McDonald's
1423 Southwest Pkwy,33.85371,-98.50065,McDonald's
908 Padre Blvd,26.09105,-97.1643,McDonald's
1131n N Main St,36.88826,-94.87766,McDonald's
3401 Hwy 165 North,31.3626,-92.41343,Pizza Hut
1631 E Madison Ave,32.77992,-91.89477,Sonic Drive-In
301 S Lynn Riggs Blvd,36.31069,-95.61759,Domino's Pizza
601 E Lincolnway,40.732,-81.09812,McDonald's
3211 S 4th St,39.28532,-94.90441,SONIC Drive In
105 Business Loop W,46.898997,-98.707788,Taco Bell
1531 University Dr S,46.85659,-96.79863,Domino's Pizza
718 10th St SE,46.89896,-98.6984,Taco John's
1400 24th Ave SW,48.20858,-101.3128,McDonald's
703 S Magnolia St,30.76846,-94.41477,Whataburger
1535 S Broadway,48.219459,-101.296022,Pizza Hut
775 S Main St,41.82069,-111.83318,Domino's Pizza
218 W Main St,34.77482,-96.68126,Hamburger King
3208 S Elm Pl,36.01948,-95.79756,SONIC Drive In
3056 Classen Blvd Unit A,35.18173,-97.41709,Domino's Pizza
982 Macon St,32.59495,-83.58338,Burger King
6060 San Mateo Blvd NE,35.144456,-106.585927,Burger King
8401 Gateway Blvd W Ste M4,31.77465,-106.38071,McDonalds
450 N Harrison Ave,35.33252,-96.91222,SONIC Drive In
9455 SW Barbur Blvd,45.457027,-122.713696,Taco Time
351 River Hill Dr,38.48554,-82.658096,McDonald's
18000 Bagley Rd,41.373042,-81.826072,Burger King
3700 N 1st Ave,38.01322,-87.57549,McDonald's
895 N Highway 77 Ste 300,32.41269,-96.84213,Jimmy John's
819 SW 19th St,35.32026,-97.50536,Domino's Pizza
"95-1249 Meheula Parkway,",21.45311,-158.01738,Jersey Mike's Subs
1625 Veterans Pkwy,38.32967,-85.74938,Popeyes Louisiana Kitchen
2730 S Hurstbourne Pkwy Suite 100,38.21234,-85.59548,Qdoba Mexican Grill
5680 Commercial St SE Ste 100,44.87205,-123.02243,Domino's Pizza
2870 W Loop 1604 S,29.4033,-98.70619,Whataburger
1321 Herr Ln Ste 150,38.26897,-85.61074,Qdoba Mexican Grill
100 Northside Dr,42.89413,-73.20316,Taco Bell
6611 S Mo Pac Expy Ste B,30.22023,-97.83528,Whataburger
9300 S Interstate 35 Bldg H,30.16525,-97.78887,Whataburger
315 N Stephenson Ave,45.825755,-88.063121,Hardee's
2439 Springs Rd NE,35.75332,-81.28572,McDonald's
9651 Natural Bridge Rd,38.72914,-90.34394,Rally's
1665 Dove Park Rd Ste 300,30.41178,-90.04186,Quiznos
225 Grant Ave,42.94987,-76.54722,Burger King
5400 FM 1640 Rd Ste 500,29.55941,-95.76008,Whataburger
2448 University Ave,44.51312,-87.96051,Domino's Pizza
111 Commons Dr,34.84808,-92.40624,SONIC Drive In
344 S Service Rd E,38.22303,-91.15696,Taco Bell
6490 Memphis Arlington Rd Ste 103,35.22655,-89.84786,Domino's Pizza
2124 S 1st St,46.57144,-120.48825,Taco Bell
482 Branson Landing Blvd Ste 105,36.65075,-93.22026,Jimmy John's
406 S Thompson St,36.182436,-94.138658,Taco Bell
5094 Murfreesboro Rd Ste 1,36.02074,-86.5812,Domino's Pizza
801 S Vaughn Dr,30.387691,-91.25265,McDonald's
5100 NC Highway 87 S Ste 102,34.9297,-78.85668,Domino's Pizza
Co-Op City,40.8691,-73.8248,Burger King
3898 Cleveland Hwy,34.89383,-84.94654,McDonalds
1865 Blankenship Rd,45.349698,-122.653281,Jack in the Box
825 W 1100 S,41.48602,-112.02944,Sonic Drive-In
955 S Main St,41.49113,-112.01555,Taco Bell
875 W 1150 S,41.48561,-112.02934,Subway
524 Indian Boundary Rd,41.6165,-87.0439,Jimmy John's
801 University St,36.3485,-88.87344,McDonald's
2505 State Rd,43.79609,-91.21769,Hardee's
1610 Sycamore View Rd,35.1694,-89.86479,McDonald's
2437 George St,43.85742,-91.23993,McDonald's
813 N Central Ave,44.674233,-90.168369,Taco John's
1101 N Central Ave,44.67742,-90.16521,McDonald's
4601 Northfield Rd,41.433314,-81.523935,Mr Hero
1601 W Lincoln Ave,46.6039,-120.53093,McDonald's
5706 W 7800 S,40.60985,-112.0266,McDonald's
1014 Highway 82 E,33.45785,-90.63563,Taco Bell
640 Huebner Rd,39.0644,-96.79881,Domino's Pizza
1418 W Sunset Blvd,37.122977,-113.613499,Taco Bell
610 E Saint George Blvd,37.109869,-113.570286,Taco Bell
4651 W 6th St,38.971514,-95.301449,Pizza Hut
5540 Old Cheney Rd,40.75546,-96.64543,Amigos/Kings Classic
7501 W 135th St,38.88353,-94.672,Raising Cane's Chicken Fingers
4204 Milan Rd,41.41841,-82.67352,McDonalds
6300 Gulf Fwy,29.3676,-94.97416,Whataburger
1302 Highway 35 N,28.036688,-97.04238,McDonald's
3515 Springdale Rd,39.25009,-84.59411,Domino's Pizza
7720 Laurel Ave,39.18985,-84.36207,Domino's Pizza
123 Creekside Xing,29.7279,-98.07612,Whataburger
793 Roosevelt Trl,43.83887,-70.44217,Burger King
14700 E Indiana Ave,47.673976,-117.206394,Taco Time
201 Commerce Dr,38.59259,-92.2254,SONIC Drive In
3124 S Ten Mile Dr,38.58068,-92.2352,McDonald's
1417 Jackson Ave W,34.36729,-89.54978,Coop DeVille
2984 Upland Pkwy,41.138,-102.98557,McDonalds
1002 J St,40.39457,-95.83913,Amigos/Kings Classic
191 7th St,40.725253,-73.634393,B. Good
544 Conestoga Pkwy,37.9978,-85.70737,Domino's Pizza
101 Smith Rd,37.0082,-85.92208,McDonald's
5212 Jackson St,31.27267,-92.48395,Sonic Drive-In
131 S Highway 27,37.09224,-84.61883,McDonald's
1511 C Goff Blvd S W Plaza Rio Shpg Ctr,35.085335,-106.60555,Domino's Pizza
4800 Frederica St,37.723743,-87.123894,McDonald's
300 W Esplanade Ave,30.02306,-90.26933,Burger King
5963 W Main St,29.63346,-90.75858,Sonic Drive-In
7849 Tramway Blvd NE Ste D,35.17351,-106.49703,Domino's Pizza
400 Clifty Dr,38.77544,-85.39367,Rally's
1228 Saint Charles St,29.58875,-90.74346,Taco Bell
725 Sterlington Hwy,32.7715,-92.39699,Taco Bell
1088 Westbank Expy,29.89708,-90.14081,Pizza Hut
1000 Government St,30.44345,-91.17915,Sonic Drive-In
314 E Carpenter St,33.75489,-90.71678,Back Yard Burgers
120 S Davis Ave,33.74364,-90.71593,McDonald's
1231 Holcomb Blvd,34.72418,-77.34444,Wendy's
112 E 2nd St,46.78937,-92.09841,Domino's Pizza
